timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-04-14 02:31:35,b'He gets up every day? Hasn\xe2\x80\x99t caught #coronavirus #COVID19?  #25thAmendmentNow   @ABC @CBSNews @CNN @MSNBC @NBCNews https://t.co/JoS585qP0v',b'bigmusicfan71',"['coronavirus', 'COVID19', '25thAmendmentNow']",354,b''
2020-04-14 02:31:35,"b'@Welptheresthat @NorthmanTrader Not when the product is complete Chinese made garbage, which accounts for the vast majority of products coming out of #china. #ChinaMustExplain #ChinaVirus #ChinaMustPay #WuFlu #coronavirus #COVID19'",b'GKeeto',"['china', 'ChinaMustExplain', 'ChinaVirus', 'ChinaMustPay', 'WuFlu', 'coronavirus', 'COVID19']",6,b''
2020-04-14 02:31:34,b'Holy \xf0\x9f\x92\xa9 \xe2\x81\xa6@VanityFair\xe2\x81\xa9 this is scorchingly amazing!  \xe2\x81\xa6@jaredkushner\xe2\x81\xa9 \xe2\x81\xa6@IvankaTrump\xe2\x81\xa9 \xe2\x81\xa6@WilburRoss\xe2\x81\xa9 \xe2\x81\xa6@realDonaldTrump\xe2\x81\xa9 \xe2\x81\xa6@stevenmnuchin1\xe2\x81\xa9 \xe2\x81\xa6@larry_kudlow\xe2\x81\xa9   #INCOMPETENCEKILLS #COVID19 #coronavirus #GOPDeathCult  https://t.co/XyCFZeO3qR',b'DrumpfsLies',"['INCOMPETENCEKILLS', 'COVID19', 'coronavirus', 'GOPDeathCult']",230,"b'California, USA'"
2020-04-14 02:31:32,b'This could be the end of the line for cruise ships: https://t.co/jqVxhkhaM7 @freyahd #COVID19 #coronavirus #ausecon #auspol @universitysa https://t.co/75niQStxaK',b'1petermartin',"['COVID19', 'coronavirus', 'ausecon', 'auspol']",32382,b''
2020-04-14 02:31:22,"b'Dear @CNN,  Can you sincerely claim @realDonaldTrump handling the #coronavirus crisis? He\'s done nothing but avoid taking action.  Perhaps usage of ""Trump spends his time handing his balls...oops Golf Balls"" on a chyron would be more accurate.  Thanks, Chris  #COVID19 https://t.co/0Vil0CC4ZO'",b'WarmMonkey',"['coronavirus', 'COVID19']",651,b'Out of The Closet'
2020-04-14 02:31:20,b'New @OneRepublic Official Music Video for the song \xe2\x80\x9cBetter Days\xe2\x80\x9d now trending on @YouTube  https://t.co/4dpeXRouE2  #hope #HopeFromHome #AloneTogether #StayHome #StayAtHome #StayHomeSaveLives #QuarantineLife #lockdown #COVID19 #coronavirus #COVID2019 #COVID \xf0\x9f\x8c\x8e\xf0\x9f\x8c\x8d\xf0\x9f\x8c\x8f\xf0\x9f\x8e\xb6\xe2\x9d\xa4\xef\xb8\x8f https://t.co/W4oYyMVk0Z',b'CharityChicken',"['hope', 'HopeFromHome', 'AloneTogether', 'StayHome', 'StayAtHome', 'StayHomeSaveLives', 'QuarantineLife', 'lockdown', 'COVID19', 'coronavirus', 'COVID2019', 'COVID']",2164,"b'Dayton, OH'"
2020-04-14 02:31:06,"b""In the end...are the bee sting, misadventure, car accidents, cancer, blunt force trauma, etc deaths gonna be backed out of #coronavirus' death counts, OR, is the value of pumping up the #COVID19 death numbers just too irresistible than admitting... otherwise\xe2\x9d\x93\xe2\x9d\x93\xe2\x9d\x93""",b'PaulyBowz',"['coronavirus', 'COVID19']",1342,b''
2020-04-14 02:31:04,b'We appreciate all our frontliners for their hard work and dedication! \xe2\x9d\xa4\xef\xb8\x8f \xf0\x9f\x92\xaa  #StayAtHome #SGUnited #Frontliners #COVID19 #Coronavirus https://t.co/H71omtD8PP',b'asiabizsg',"['StayAtHome', 'SGUnited', 'Frontliners', 'COVID19', 'Coronavirus']",1766,b'Singapore'
2020-04-14 02:31:04,"b""Fauci didn't get voted off the island today, but will he get the #finalrose?  https://t.co/3Wx9MI1znV #coronavirus #COVID19 #BachelorLTYH #RealityTV #ageoftrump""",b'JohnFea1',"['finalrose', 'coronavirus', 'COVID19', 'BachelorLTYH', 'RealityTV', 'ageoftrump']",18375,b''
2020-04-14 02:31:03,b'Last updated: 2020-04-14 02:05:02+00:00GMT   Coronavirus [COVID-19]     Cases: 1924677     Deaths: 119692  #corona #coronavirus #COVID19 https://t.co/HmyTsi3mWf',b'sukemomo',"['corona', 'coronavirus', 'COVID19']",68,b'Japan'
